name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Captain's Console,systemConversionConsole,1,,Federation Tech,"mount, defensive, ufp",Mount,90480,,,,0,0,0,0,UFP.data.hullmods.CaptainsConsole,"Federation ships often specialize consoles for general purposes. However, a console can get singular in it's purpose depending on the configuration. This mount allows a captain to use the special controls of his chair to specify a unique change in function. Configure the console controls of their chair, a captain can alter the ship's special system function.",Enables the installation of a specialized consoles to change a ship's system. ,,graphics/hullmods/shield_mount.png
,,,,,,,,,,,,,,,,,,,
Federation Sensor Array,sensorArray,2,,Federation Tech,"sensor, defensive, ufp",Sensors,24600,,,,0,0,0,0,UFP.data.hullmods.StarfleetSensors,"Sensors are a necessary feature for any spacefaring vessel. For the Federation, they're more than just a necessity but a tool of research to understanding the universe around them. Of course no sensor packet for a ship is the same as another. Most configurations of Federation vessels have standard sensor technology, but size can limit range. Then there are specialized sensor arrays that come attached to vessels purpose built for exploration, surveying, or other services in tandem with advanced sensory information gathering. ",Increases fleet sensor range by %s su and combat sight radius by %s u depending on hull size.,,graphics/hullmods/starfleet_sensor_array.png
Damanged System,systemDamage,1,,Federation Tech,"shields, defensive, ufp",Shields,800,,,,0,0,0,0,UFP.data.hullmods.DamagedShipSystem,"Starships requite specialized systems to implement shield generators. To simply the naming scheme of the mechanisms involved, we're simply calling it a shield mount in this case. If a shield mount is installed on a ship, then the ship needs a valid shield generator installed, otherwise the ship will not have shields. There is no fallback without a shield generator installed. ",Enables the installation of a shield generator onto a starship.,,graphics/hullmods/shield_mount.png
Deployed Ablative Armor,deployedAblativeArmor,0,,Federation Tech,"defensive, ufp, special, no_drop_salvage","Armor, Defenses",75250,,,,2,4,0,12,UFP.data.hullmods.DeployedAblativeArmor,"Armor has been deployed on your vessel. Usually this comes at the cost of no shields being available. The armor reduces ENERGY Damage by %, FRAGEMENTATION by %s and other weapons by %s. If armor is reduced to hull resistance, the armor still has some effect, with ENERGY damage reduced by %s, FRAGEMENTATION by %s and other damage types by %s.","Makes weapons harder to disable, reduces recoil.",Increases the rate of fire of all non-missile weapons by %s.,graphics/hullmods/armored_weapon_emplacements.png
,,,,,,,,,,,,,,,,,,,
Shield Mount,shieldMount,1,,Federation Tech,"shields, defensive, ufp",Shields,800,,,,0,0,0,0,UFP.data.hullmods.ShieldMount,"Starships requite specialized systems to implement shield generators. To simply the naming scheme of the mechanisms involved, we're simply calling it a shield mount in this case. If a shield mount is installed on a ship, then the ship needs a valid shield generator installed, otherwise the ship will not have shields. There is no fallback without a shield generator installed. ",Enables the installation of a shield generator onto a starship.,,graphics/hullmods/shield_mount.png
Federation Shield,federationShields,3,,Federation Tech,"shields, defensive, ufp",Shields,52000,,,,2,4,6,8,UFP.data.hullmods.FederationShields,"Standard shields used aboard Federation vessels. Oftentimes, these shields are built into the starship. When installed, the shields make a ship different from standard Starsector type shields. Federation Shields use hitpoints rather than flux. Second, there are many vanilla weapons that are rendered ineffective against Federation shields, due to the advanced nature of Federation shields. That does not mean that Federation Shields are wholly impervious. There are still many weapons that can do chip or even heavy damage to Federation shields. ",Federation style shielding. Hitpoints are used instead of flux. Shields can recovery with the proper system installed.,,graphics/hullmods/federationShield.png
Federation Shield Regeneration,federationShieldRecovery,1,,Federation Tech,"shields, defensive, ufp",Shields,5660,,,,0,0,0,0,UFP.data.hullmods.FederationShieldRecovery,"An advanced Federation defensive architecture that enables sustained regeneration of shield integrity during combat. This hull modification integrates reinforced shield emitters with adaptive power routing and automated recovery logic, allowing shields to gradually reconstitute lost strength under a variety of conditions.

Shield recovery occurs through multiple mechanisms: steady passive regeneration while shields are active, accelerated recovery when shields are lowered, and additional restoration through controlled power diversion or system venting. Recovery is suspended if the shield grid is critically disabled, preventing unsafe overloads. Designed for prolonged engagements, this hullmod emphasizes resilience and efficient energy management over rapid burst defense.","Enables passive and conditional shield regeneration through power routing, venting, and adaptive recovery systems.",,graphics/hullmods/shieldRegen.png
Romulan Shield,romulanShield,3,,Romulan Tech,"shields, defensive, ufp",Shields,108200,,,,2,4,6,8,UFP.data.hullmods.RomulanTLEShields,"Standard shields used aboard Federation vessels. Oftentimes, these shields are built into the starship. When installed, the shields make a ship different from standard Starsector type shields. Federation Shields use hitpoints rather than flux. Second, there are many vanilla weapons that are rendered ineffective against Federation shields, due to the advanced nature of Federation shields. That does not mean that Federation Shields are wholly impervious. There are still many weapons that can do chip or even heavy damage to Federation shields. ",Federation style shielding. Hitpoints are used instead of flux. Shields can recovery with the proper system installed.,,graphics/hullmods/federationShield.png
Luddite Shields,ludditeShields,1,,Col Tech,"shields, defensive, coalitionTech",Shields,52000,,,,1,1,1,1,UFP.data.hullmods.LudditeShields,"Luddites wanted Coalition type shields, but were adamant about havin the most advanced shields available. Therefore, a specialized armored variant that is deployable was invented. ",Federation style shielding. Hitpoints are used instead of flux. Shields can recovery with the proper system installed.,,graphics/hullmods/bubbleShield_ICON.png
