id,type,text1,text2,text3,text4,notes,,,
# Types: WEAPON,SHIP,RESOURCE,CUSTOM,ACTION_TOOLTIP,ASTEROID,PLANET,SHIP_SYSTEM,FACTION,TERRAIN
#astral,SHIP,Text goes here,,,,,,,
#supplies,RESOURCE,"Assorted supplies required by ships and crew, ranging from rations and uniforms to munitions, spare parts, microfab feedstock, and prefab components.",,,,,,,
#drone_station_lt,SHIP_SYSTEM,A ring of defense drones around the station.,,A ring of defense drones around the stattion.,,,,,
#barren-bombarded,PLANET,"A lifeless rocky world, the battered surface tells an aeons-long story of intermittent meteor bombardment. What atmosphere there is clings to the scarred crust in near-vacuum. There is no significant magnetic field or tectonic activity. Deep regolith prevails, crossed by lava channels and spotted by ancient lava seas formed by especially large impacts.",,"The mottled curve of the planet turns below you. The lighter regolith is pocked with ancient impact craters, the darker lava seas less densely marked but riven nonetheless by evidence of their own cataclysmic creation.",,,,,
#luddic_church,FACTION,"Inspired by the martyrdom of a figure known as 'Ludd' during the fall of the Domain, the Church of Galactic Redemption is a hierarchical church with highly syncretic dogma formed from a core of Abrahamic texts and apocrypha along with Domain-era reaction against perceived corruption, depravity, hedonism, and transhuman abomination. The Church offers a vision of life lived more simply, of agrarian virtue and humanistic values and prayer against the violence and technological alienation that's torn the Sector apart in the years since the Fall.",,,,,,,
#slipstream,TERRAIN,"A flow in hyperspace, akin to currents navigated by ancient seafarers back on Old Earth.",,,,,,,
,,,,,,,,,
,,,,,,,,,
#id,#type,#text1,text2,text3,text4,notes,,,
civilian,RESOURCE,"These are the backbone of society. Without civilians, specially trained crew, officers, and scientists cannot be created. Civilians operate society and are the lifeblood of an empire, even if they go wholly unsung. ",,,,,,,
cadets,RESOURCE,"A small portion of civilians decide to do something different with their life, becoming the elite of society. Through hard work, dedication, exceptional talent, and a different mind, certain people society go on to become cadets, entering into the esteemed Starfleet Academy. From here, cadets go on to find a discipline, become officers of Starfleet and serving aboard ships or stations.",,,,,,,
starfleetOfficer,RESOURCE,Not all cadets graduate to be Starfleet officers. Attending the Academy is something that is rather grueling even amongst the best. Only the best of the best can attend the academy. And only the best of the best ever graduate. Starfleet Officers are the lifeblood of Starfleet and its plethora of vessels. ,,,,,,,
scientist,RESOURCE,"Not all civilians subscribe to the idea of serving in Starfleet. Going misisng in an anamoly isn't appealing to everyone. Some brilliant minds choose univerity instead, gaining a discipline that way. Still, even researchers and scientists with too great ideas still manage to go missing in anamolies. Nothing like creating a miniature blackhole in a small station on the outskirts of a Federation space to really make a person realize forgoing Starfleet didn't matter anyway.",,,,,,,
dilithium_ore,RESOURCE,"Dilithium ore is mined from planets in order to be refined into the useful component, dilithium. ",,,,,,,
dilithium,RESOURCE,Dilithium is a huge resource to allow for warp travel for ships with warp cores. It is used to help with the matter-antimatter power production. It's created by dilithium ore. ,,,,,,,
,,,,,,,,,
